Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
30/06/2004,2247.60,2247.60,2228.70,2228.70
29/06/2004,2249.90,2249.90,2238.50,2247.60
28/06/2004,2238.30,2255.70,2232.90,2249.90
25/06/2004,2240.40,2241.30,2233.90,2238.30
24/06/2004,2233.10,2245.90,2233.10,2240.40
23/06/2004,2224.10,2237.10,2224.10,2233.10
22/06/2004,2238.30,2238.30,2220.70,2224.10
21/06/2004,2238.10,2240.60,2229.80,2238.30
18/06/2004,2233.20,2239.50,2224.90,2238.00
17/06/2004,2231.70,2237.50,2228.00,2233.20
16/06/2004,2216.70,2238.40,2215.90,2231.80
15/06/2004,2206.00,2217.90,2206.00,2216.60
14/06/2004,2230.20,2230.20,2206.00,2206.00
11/06/2004,2231.30,2233.40,2221.70,2230.10
10/06/2004,2232.40,2234.60,2226.50,2231.30
09/06/2004,2237.80,2241.90,2229.30,2232.40
08/06/2004,2231.20,2242.50,2230.00,2237.80
07/06/2004,2213.90,2232.10,2213.90,2231.10
04/06/2004,2203.10,2214.50,2200.20,2213.80
03/06/2004,2198.20,2203.10,2188.50,2203.10
02/06/2004,2196.90,2214.30,2196.90,2198.20
01/06/2004,2201.80,2208.90,2193.50,2197.00
28/05/2004,2210.20,2217.60,2198.30,2201.80
27/05/2004,2203.70,2217.20,2199.90,2210.20
26/05/2004,2192.70,2211.40,2192.70,2203.70
25/05/2004,2198.30,2198.30,2183.70,2192.60
24/05/2004,2198.90,2213.80,2197.90,2198.30
21/05/2004,2196.80,2208.30,2192.00,2198.80
20/05/2004,2217.20,2217.20,2193.30,2196.70
19/05/2004,2188.80,2217.20,2188.80,2217.20
18/05/2004,2180.90,2191.80,2180.90,2188.70
17/05/2004,2203.00,2203.00,2166.40,2180.90
14/05/2004,2209.90,2209.90,2191.20,2203.30
13/05/2004,2191.00,2209.90,2191.00,2209.90
12/05/2004,2210.20,2211.40,2190.70,2191.00
11/05/2004,2182.40,2210.10,2182.40,2210.10
10/05/2004,2235.00,2235.00,2182.50,2182.50
07/05/2004,2245.50,2252.00,2221.60,2235.30
06/05/2004,2270.20,2270.80,2243.60,2245.50
05/05/2004,2262.00,2272.10,2255.10,2270.30
04/05/2004,2237.40,2264.60,2237.40,2262.00
30/04/2004,2251.90,2255.40,2237.30,2237.30
29/04/2004,2257.40,2263.50,2241.30,2252.10
28/04/2004,2281.40,2284.60,2257.50,2257.50
27/04/2004,2280.30,2284.40,2270.60,2281.40
