Date,Open(Q.DJI),High(Q.DJI),Low(Q.DJI),Last(Q.DJI)
24/09/2003,9575.97,9592.67,9423.54,9425.51
23/09/2003,9535.76,9583.48,9511.41,9576.04
22/09/2003,9641.8,9641.87,9501.72,9535.41
19/09/2003,9661.8,9686.08,9610.15,9644.82
18/09/2003,9544.04,9662.84,9538.28,9659.13
17/09/2003,9566.08,9594.43,9536.81,9545.65
16/09/2003,9449.16,9571.13,9449.16,9567.34
15/09/2003,9471.19,9490.91,9436.6,9448.81
12/09/2003,9456.88,9488.32,9380.95,9471.55
11/09/2003,9415.05,9502.84,9410.42,9459.76
10/09/2003,9504.88,9504.95,9400.38,9420.46
09/09/2003,9584.92,9584.95,9490.84,9507.20
08/09/2003,9503.41,9599.34,9503.41,9586.29
05/09/2003,9589.52,9589.52,9461.37,9503.34
04/09/2003,9569.09,9609.09,9541.72,9587.90
03/09/2003,9521.86,9597.38,9514.49,9568.46
02/09/2003,9416.67,9535.97,9389.58,9523.27
29/08/2003,9373.33,9421.23,9350.07,9415.82
28/08/2003,9334.35,9392.59,9261.57,9374.21
27/08/2003,9339.82,9346.98,9306.49,9333.79
26/08/2003,9316.03,9353.86,9233.08,9340.45
25/08/2003,9349.44,9350.77,9280.94,9317.64
22/08/2003,9436.04,9499.97,9345.86,9348.87
21/08/2003,9399.96,9481.44,9391.89,9423.68
20/08/2003,9420.13,9423.26,9364.03,9397.51
19/08/2003,9412.17,9445.08,9351.73,9428.90
18/08/2003,9320.66,9419.38,9320.59,9412.45
15/08/2003,9308.52,9337.17,9281.5,9321.69
14/08/2003,9272.25,9334.57,9218.82,9310.56
13/08/2003,9303.69,9322.11,9233.94,9271.76
12/08/2003,9218.12,9310.27,9208.8,9310.06
11/08/2003,9189.62,9251.59,9146.62,9217.35
08/08/2003,9127.36,9191.37,9127.36,9191.09
07/08/2003,9060.48,9135,9031.14,9126.45
06/08/2003,9032.96,9134.57,8997.11,9061.74
05/08/2003,9185.27,9187.73,9034.57,9036.32
04/08/2003,9154.18,9209.15,9048.58,9186.04
01/08/2003,9232.68,9234.22,9138.29,9153.97
31/07/2003,9199.35,9361.4,9199.28,9233.80
30/07/2003,9204.39,9236.54,9164.97,9200.05
29/07/2003,9268.19,9289.69,9168.26,9204.46
28/07/2003,9284.92,9303.83,9234.5,9266.51
25/07/2003,9113.85,9284.57,9085.13,9284.57
24/07/2003,9196.56,9281.42,9106.42,9112.51
23/07/2003,9159.08,9203.48,9102.28,9194.24
22/07/2003,9098.65,9174.42,9037.3,9158.45
21/07/2003,9187.8,9187.8,9075.19,9096.69
18/07/2003,9052.29,9188.15,9052.29,9188.15
17/07/2003,9089.34,9113.57,9017.84,9050.82
16/07/2003,9133.7,9153.42,9042.19,9094.59
15/07/2003,9179.18,9238.01,9091.3,9128.97
14/07/2003,9126.45,9278.41,9126.45,9177.15
11/07/2003,9036.39,9146.48,9035.52,9119.59
